Lithuania,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
,,,,Germany,,1.63,1.59449175575,4.13815575106,5.30676662064,4.97216686138,7.68704379562,6.67317155948,8.52817562329,12.7640113088,24.0660561707,20.3453959691,20.0268610898
,,,,Hungary,,,,,,,,,,0.82737402295,1.35637380743,5.33453210459,2.70145817345
,,,,Ireland,,,,,,,,,0.599828620394,,,,
,,,,Italy,,,0.637192728151,0.702364143224,,,,,,,,1.7157413651,24.5855717575
,,,,Latvia,,9.1225,13.6256568219,15.5606241628,231.351351351,297.484708955,285.253193431,461.793653487,452.287101644,445.58872443,397.589945975,318.779501011,371.71143515
,,,,Luxembourg,,,,,,,,,,,,,3.22716807368
,,,,Netherlands,,,,1.79573512907,1.9333201815,1.7318397361,,56.2786356694,207.618231526,483.315316814,536.334725468,588.29699558,631.557943208
,,,,Poland,,0.8425,1.03581566709,0.818218022519,2.66719274019,19.9745721944,133.523418491,161.785168844,183.123189293,177.540329287,163.749568949,170.513973177,185.633154259
,,,,Portugal,,,,,,-2.02735207202,-2.39127128954,0.585440352961,1.05276043579,,0.52875589103,,
,,,,Romania,,,,,,19.1808123153,33.3447384428,30.1501781775,32.6763781777,32.0181273907,28.5489865512,35.000374616,21.1013046815
,,,,Slovakia,,,,,,9.74847089547,9.73236009732,14.2499575768,14.1673807484,10.0199567604,,,8.81043745203
,,,,Spain,,,,,,,,0.496351603597,-1.01195576774,,,,0.894090560246
,,,,Sweden,,,,,,,,,,,2.78554733898,2.42001948003,-0.871066768995
,,,,United Kingdom,,,,,0.493193923851,15.6793347536,34.025243309,103.436280333,113.571632595,138.691169134,114.935438139,117.861691766,126.216423638
,,,Other developed Europe,,,,,,,37.7018761597,41.8225364964,50.2799932123,42.9795568613,43.2063861633,3.96566918273,1.08638645388,1.15502686109
,,,,Norway,,,,,,37.7018761597,41.7503041363,50.1993891057,44.8116864569,43.1731248961,3.52120770911,0.62560875103,0.771297006907
,,,,Switzerland,,,,,,,,,-1.97086546701,,,,
,,North America,,,,1.22,2.04747236818,1.59661127403,1.92148352732,,,2.06176819956,,,0.544082148741,,
,,,Canada,,,1.22,2.04747236818,1.59661127403,1.92148352732,,,2.06176819956,,,0.498103375608,,
,Developing economies,,,,,,1.16868998007,1.87900510481,0.68258039061,,,,,1.1059371362,2.11119199969,3.81733722934,8.81043745203
,,Asia,,,,,,,,,,,,1.08930650258,2.11119199969,3.81733722934,6.74980813507
,,,East Asia,,,,,,,,,,,1.08930650258,1.97325568029,3.42773657002,4.1557943208
,,,,China,,,,,,,,,,1.08930650258,1.70504617035,1.8730800929,2.56331542594
,,,,"Hong Kong, China",,,,,,,,,,,,1.55465647711,1.59247889486
,,,South-East Asia,,,,,,,,,,,,,,-1.11665387567
,,,,Singapore,,,,,,,,,,,,,-1.11665387567
,,,West Asia,,,,,,,,,,,,,,3.71066768995
,,,,Turkey,,,,,,,,,,,,,3.31926323868
,,Latin America and the Caribbean,,,,,1.16868998007,1.87900510481,0.68258039061,,,,,,,,2.06062931696
,,,Central America,,,,1.16868998007,1.40110785272,,,,,,,,,
,,,,Mexico,,,1.16868998007,1.40110785272,,,,,,,,,
,,,Caribbean,,,,,,,,,,,,,,2.06062931696
,,,,British Virgin Islands,,,,,,,,,,,,,2.06062931696
,Transition economies,,,,,22.8575,24.1287672888,59.2954635965,116.121522983,221.256271047,315.507147202,459.74036993,500.991553434,520.962913687,446.457718687,395.317299768,394.282425173
,,South-East Europe,,,,3.6675,4.73213746452,9.01125954889,15.6204379562,18.5897876435,34.2837591241,72.9679280502,78.695882809,63.0051554964,66.7688417181,65.422941485,66.1013046815
,,,Bosnia and Herzegovina,,,3.6675,4.73213746452,9.01125954889,15.4034326297,18.2736581678,20.3847323601,23.3879178687,22.4058432285,9.23000166306,47.4884095176,46.5572787892,46.7728319263
,,,Serbia,,,,,,,,13.899026764,49.5800101816,56.2900395805,53.7751538334,19.2804322005,18.8656626957,19.3284727552
,,CIS,,,,19.19,19.3966298242,50.2842040476,100.501085027,202.666483403,281.223388078,386.77244188,422.295670625,457.957758191,379.688876968,329.894358283,328.181120491
,,,Belarus,,,1.0025,3.73859998792,3.10995257232,5.42118761097,8.43241014363,14.0434914842,22.8109621585,28.1878646917,63.3627141194,78.4895973026,69.5999100922,105.882578665
,,,Kazakhstan,,,,,,0.702308147564,0.786887499141,1.13670924574,0.958764636009,1.64850858938,2.09961749543,1.2835740833,,
,,,Russian Federation,,,9.635,9.05659237785,35.5924839796,78.6664036299,102.061713972,163.822992701,199.168505006,242.64903905,218.518210544,157.059657458,126.803776129,124.612432847
,,,Tajikistan,,,0.925,,,,,,,,,,,
,,,Ukraine,,,5.6375,4.27915685209,10.9083668223,15.5060169659,91.1002680228,102.045316302,163.630578653,149.447096748,158.897388991,128.855511705,121.289428336,84.7620874904
,,,Uzbekistan,,,0.8825,0.957299027602,,,,,,,,,0.674308833446,0.491174213354
,,Georgia,,,,,,,,,,,,14.4894395476,13.4028123683,10.7439874129,11.6922486569
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Bank of Lithuania.",,,,,,,,,,,,,,,,,
