Turkey,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
,,,,Malta,,24,25.0,25.0,25.0,25.0,104.0,1331.0,1555.0,1776.0,1500.0,1123.0,1890.0
,,,,Netherlands,,1471,2295.0,2419.0,2683.0,2828.0,3041.0,4201.0,5268.0,5561.0,6653.0,7452.0,9307.0
,,,,Poland,,3,3.0,3.0,7.0,8.0,7.0,8.0,19.0,18.0,19.0,10.0,15.0
,,,,Portugal,,0,,,,,,,,,,,1.0
,,,,Romania,,82,125.0,120.0,133.0,159.0,162.0,185.0,263.0,253.0,277.0,244.0,144.0
,,,,Slovakia,,0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,7.0,8.0,8.0
,,,,Spain,,0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,14.0,24.0,24.0,24.0
,,,,Sweden,,0,,,,,,33.0,,,,,
,,,,United Kingdom,,482,519.0,531.0,535.0,584.0,586.0,463.0,759.0,226.0,253.0,282.0,274.0
,,,Other developed Europe,,,65,64.0,81.0,85.0,86.0,73.0,88.0,284.0,348.0,382.0,401.0,417.0
,,,,Gibraltar,,0,,10.0,11.0,11.0,2.0,2.0,,,,,
,,,,Iceland,,0,,,,,,,1.0,1.0,1.0,1.0,1.0
,,,,Jersey,,0,,3.0,3.0,3.0,3.0,3.0,19.0,18.0,13.0,14.0,10.0
,,,,Switzerland,,65,64.0,68.0,71.0,72.0,68.0,83.0,264.0,329.0,368.0,386.0,406.0
,,North America,,,,140,144.0,128.0,129.0,135.0,142.0,146.0,736.0,858.0,1035.0,1598.0,1753.0
,,,Canada,,,1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,-1.0,7.0
,,,United States,,,139,143.0,127.0,128.0,135.0,141.0,145.0,735.0,857.0,1033.0,1599.0,1746.0
,,Other developed countries,,,,0,,,,,,,2.0,3.0,3.0,22.0,30.0
,,,Australia,,,0,,,,,,,,,,1.0,
,,,Israel,,,0,,,,,,,2.0,3.0,3.0,21.0,30.0
,Developing economies,,,,,201,255.0,267.0,286.0,302.0,313.0,439.0,1242.0,1720.0,1431.0,2165.0,2938.0
,,Africa,,,,22,60.0,67.0,72.0,86.0,90.0,171.0,381.0,362.0,530.0,504.0,298.0
,,,North Africa,,,11,49.0,54.0,58.0,71.0,78.0,151.0,370.0,334.0,493.0,469.0,239.0
,,,,Algeria,,0,26.0,26.0,26.0,29.0,31.0,30.0,38.0,34.0,42.0,64.0,78.0
,,,,Egypt,,5,5.0,5.0,5.0,7.0,9.0,38.0,54.0,94.0,100.0,112.0,143.0
,,,,Libya,,1,13.0,16.0,20.0,30.0,33.0,38.0,47.0,63.0,175.0,176.0,7.0
,,,,Morocco,,0,,1.0,2.0,1.0,1.0,1.0,11.0,8.0,13.0,-4.0,
,,,,Sudan,,0,,1.0,,,,,35.0,,20.0,,
,,,,Tunisia,,5,5.0,5.0,5.0,4.0,4.0,44.0,185.0,135.0,143.0,121.0,11.0
,,,Other Africa,,,11,11.0,13.0,14.0,15.0,12.0,20.0,11.0,28.0,37.0,35.0,59.0
,,,,Ethiopia,,0,,,,,,6.0,11.0,28.0,21.0,23.0,36.0
,,,,Liberia,,0,,,1.0,2.0,1.0,1.0,,,,,
,,,,Mauritania,,0,,,,,,,,,,,5.0
,,,,Nigeria,,1,1.0,2.0,2.0,2.0,1.0,2.0,,,,,
,,,,Senegal,,0,,,,,,,,,11.0,11.0,18.0
,,,,South Africa,,10,10.0,11.0,11.0,11.0,10.0,11.0,,,,1.0,
,,,,United Rep. of Tanzania,,0,,,,,,,,,5.0,,
,,Asia,,,,52,58.0,61.0,65.0,68.0,72.0,116.0,120.0,472.0,-46.0,451.0,1373.0
,,,East Asia,,,3,4.0,4.0,6.0,7.0,9.0,26.0,39.0,65.0,71.0,85.0,101.0
,,,,China,,2,3.0,3.0,4.0,5.0,7.0,24.0,38.0,64.0,70.0,83.0,99.0
,,,,"Hong Kong, China",,1,1.0,1.0,2.0,2.0,2.0,2.0,,,,,
,,,,"Korea, Republic of",,0,,,,,,,1.0,1.0,1.0,2.0,2.0
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,South-East Asia,,,2,2.0,1.0,2.0,1.0,2.0,5.0,32.0,31.0,42.0,287.0,420.0
,,,,Indonesia,,1,1.0,1.0,1.0,1.0,1.0,4.0,16.0,18.0,27.0,105.0,104.0
,,,,Malaysia,,1,1.0,,1.0,,,,,,,165.0,299.0
,,,,Singapore,,0,,,,,,,3.0,1.0,1.0,1.0,2.0
,,,,Thailand,,0,,,,,1.0,1.0,11.0,12.0,14.0,16.0,15.0
,,,,Viet Nam,,0,,,,,,,2.0,,,,
,,,South Asia,,,10,10.0,10.0,14.0,17.0,17.0,24.0,62.0,362.0,326.0,315.0,434.0
,,,,Bangladesh,,0,,,,,1.0,1.0,,,2.0,2.0,1.0
,,,,India,,0,,,,,,3.0,16.0,39.0,57.0,61.0,71.0
,,,,"Iran, Islamic Republic of",,9,9.0,9.0,13.0,16.0,16.0,18.0,8.0,272.0,251.0,223.0,224.0
,,,,Pakistan,,1,1.0,1.0,1.0,1.0,,2.0,38.0,51.0,14.0,28.0,137.0
,,,West Asia,,,37,42.0,46.0,43.0,43.0,44.0,61.0,-13.0,14.0,-485.0,-236.0,418.0
,,,,Bahrain,,12,14.0,14.0,14.0,14.0,14.0,14.0,-39.0,-34.0,-528.0,-392.0,175.0
,,,,Iraq,,0,,,,,,,7.0,8.0,8.0,82.0,161.0
,,,,Jordan,,18,19.0,19.0,19.0,19.0,19.0,19.0,,,,2.0,4.0
,,,,Kuwait,,3,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
,,,,Oman,,0,,,,,,,,,2.0,3.0,4.0
,,,,Qatar,,0,,,,,,,,1.0,1.0,2.0,1.0
,,,,Saudi Arabia,,4,4.0,6.0,4.0,4.0,4.0,5.0,3.0,9.0,10.0,26.0,26.0
,,,,Syrian Arab Republic,,0,1.0,3.0,2.0,2.0,2.0,3.0,,1.0,7.0,9.0,8.0
,,,,United Arab Emirates,,0,1.0,1.0,1.0,1.0,2.0,17.0,16.0,29.0,15.0,32.0,39.0
,,Latin America and the Caribbean,,,,127,137.0,139.0,149.0,148.0,151.0,152.0,740.0,871.0,907.0,1158.0,1025.0
,,,South America,,,15,15.0,15.0,15.0,15.0,15.0,15.0,68.0,81.0,83.0,71.0,120.0
,,,,Argentina,,12,12.0,12.0,12.0,12.0,12.0,12.0,27.0,27.0,27.0,27.0,27.0
,,,,Brazil,,3,3.0,3.0,3.0,3.0,3.0,3.0,41.0,54.0,56.0,44.0,93.0
,,,Central America,,,1,1.0,1.0,1.0,,,,,,5.0,275.0,270.0
,,,,Mexico,,1,1.0,1.0,1.0,,,,,,5.0,5.0,
,,,,Panama,,0,,,,,,,,,,270.0,270.0
,,,Caribbean,,,111,121.0,123.0,133.0,133.0,136.0,137.0,672.0,790.0,819.0,812.0,635.0
,,,,Bahamas,,1,1.0,1.0,11.0,11.0,11.0,11.0,3.0,2.0,3.0,6.0,3.0
,,,,Cayman Islands,,0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,154.0,165.0,156.0,4.0
,,,,Netherlands Antilles ,,1,1.0,2.0,2.0,2.0,1.0,2.0,,,,,
,,Oceania,,,,0,,,,,,,1.0,15.0,40.0,52.0,242.0
,,,Marshall Islands,,,0,,,,,,,1.0,15.0,40.0,52.0,242.0
,Transition economies,,,,,1282,1446.0,1530.0,2135.0,3026.0,3259.0,3986.0,5333.0,5616.0,6191.0,6689.0,6856.0
,,South-East Europe,,,,0,,18.0,25.0,34.0,36.0,105.0,288.0,357.0,435.0,403.0,330.0
,,,Albania,,,0,,,,2.0,2.0,53.0,162.0,136.0,148.0,17.0,7.0
,,,Bosnia and Herzegovina,,,0,,17.0,24.0,31.0,34.0,44.0,89.0,181.0,240.0,257.0,222.0
,,,Montenegro,,,0,,,,,,6.0,15.0,15.0,18.0,18.0,18.0
,,,Serbia,,,0,,,,,,1.0,,,,1.0,1.0
,,,The FYR of Macedonia,,,0,,1.0,1.0,1.0,,1.0,22.0,25.0,29.0,110.0,82.0
,,CIS,,,,1282,1446.0,1512.0,2110.0,2992.0,3223.0,3881.0,5045.0,5259.0,5756.0,6286.0,6526.0
,,,Azerbaijan,,,569,741.0,804.0,1387.0,2202.0,2364.0,2773.0,3851.0,3913.0,4506.0,4752.0,5051.0
,,,Belarus,,,0,,,,,,,144.0,1.0,1.0,-222.0,3.0
,,,Kazakhstan,,,417,421.0,420.0,425.0,434.0,460.0,615.0,492.0,639.0,632.0,626.0,646.0
,,,Kyrgyzstan,,,24,24.0,24.0,24.0,24.0,24.0,24.0,16.0,17.0,17.0,19.0,20.0
,,,"Moldova, Republic of",,,0,,1.0,1.0,,,2.0,1.0,1.0,5.0,12.0,11.0
,,,Russian Federation,,,166,154.0,150.0,154.0,184.0,180.0,244.0,208.0,303.0,362.0,558.0,426.0
,,,Tajikistan,,,0,,,,,,,,,,,2.0
,,,Ukraine,,,7,8.0,10.0,12.0,23.0,39.0,52.0,36.0,21.0,-12.0,55.0,71.0
,,,Uzbekistan,,,20,19.0,21.0,22.0,40.0,44.0,48.0,39.0,64.0,82.0,101.0,112.0
,,Georgia,,,,34,27.0,27.0,27.0,27.0,53.0,65.0,193.0,240.0,105.0,344.0,111.0
,Unspecified,,,,,78,58.0,42.0,43.0,51.0,47.0,73.0,348.0,428.0,491.0,489.0,588.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Central Bank of the Republic of Turkey.",,,,,,,,,,,,,,,,,
