Spain,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
,,,,Ireland,,,,,,3826.94741958,4843.92882401,5776.51766078,5931.42262291,-1014.18271135,12787.4333069,12174.3090895,15752.3221448
,,,,Italy,,,,,,8388.84805815,11259.039564,17545.9515797,28957.0883423,11565.1403505,10435.7214344,9309.61355076,9165.87502639
,,,,Luxembourg,,,,39794.5857741,47767.5166176,36974.1633861,39221.5998662,44478.0083085,41870.6665962,40868.3939466,35179.4716933,29170.9850593,10738.60038
,,,,Malta,,,,,,,,450.462386391,633.223203525,574.799576463,956.719148146,830.684072215,750.73886426
,,,,Netherlands,,,,19738.1549599,27156.2057317,25028.5192521,33408.3584771,68866.2774436,62171.3849914,69696.2493967,47695.6564149,58457.1272564,63944.7435085
,,,,Poland,,,,,,1545.4072502,3616.48410841,6194.59386252,6481.14386553,6775.14387997,6586.12944303,11030.5011147,11887.7981845
,,,,Portugal,,,,17328.3520636,21668.3011878,19651.4457816,26504.6404522,33368.0748769,32565.7647527,34960.4915329,36730.7998092,33786.3278718,32090.4580958
,,,,Romania,,,,,,,510.996297911,1329.30566964,1594.88745327,1783.46334752,2156.62668311,1980.96154916,2182.28836817
,,,,Slovakia,,,,,,,,,,,,390.757928051,411.652944902
,,,,Sweden,,,259.028778412,860.102606073,1571.86444372,1147.84828584,1590.93692752,3326.94442236,3360.9539264,2852.38887568,2520.07306341,2458.41080562,3629.67067764
,,,,United Kingdom,,,7013.70230777,13010.1570413,36457.9928081,29056.0157042,63447.8289901,81143.5856217,84566.6109059,90704.5256463,90598.3636896,94374.5091265,88329.9028921
,,,Other developed Europe,,,,8754.54349062,11195.2268726,14058.2434347,11075.025393,13238.491718,14266.114335,17716.3327052,16349.3744193,22303.8491911,27092.9809784,20440.1519949
,,,,Andorra,,,,,,449.465772769,,,,,,,
,,,,Jersey,,,,,,,,,,,,388.170127203,
,,,,Norway,,,,,,,921.900537468,849.401297214,933.830262781,1348.40201396,1457.79412099,1502.21839228,1676.95799029
,,,,Switzerland,,,8754.54349062,11195.2268726,14058.2434347,10199.6878513,12240.205136,13337.2196755,16643.3325076,14816.5755487,20630.9268818,24989.0988889,18545.492928
,,North America,,,,,24101.2120869,26226.1829884,24135.0659257,14289.7084135,23788.984869,45205.2253637,53160.1317104,56308.7494868,61020.2420927,67036.980968,65338.030399
,,,Canada,,,,807.49862096,1227.63543774,666.067342269,1754.21418401,1849.06907801,3086.99223615,2679.02124568,3103.05335264,4803.63873964,5764.32638897,6263.19400464
,,,United States,,,,23293.7134659,24998.5475507,23468.9985834,12535.4942295,21939.915791,42118.2331275,50481.1104647,53205.6961341,56216.6033531,61272.654579,59074.8363943
,,Other developed countries,,,,,1998.82126175,4201.99907548,3530.5655443,3140.36190842,4350.05353608,3980.55651242,4265.55850287,5183.28039127,6584.7932431,6862.84784896,7308.15917247
,,,Australia,,,,,1961.43810166,1076.0597145,1567.82155383,1968.91614788,3362.27480561,3381.82941663,4437.04936217,5674.84109242,6307.76456705,6718.38716487
,,,Japan,,,,1998.82126175,2240.56097382,2454.50582979,1572.54035459,2381.1373882,618.281706811,883.729086238,746.231029093,909.952150681,555.083281901,589.7720076
,Developing economies,,,,,,,82021.7084341,95973.6297265,103246.181016,141081.07325,160940.200382,156859.825258,197599.959663,228585.057811,217267.877499,214580.694532
,,Africa,,,,,,2301.18494606,2536.23188406,3015.31368818,6304.48267551,6176.9286709,6168.01151214,7099.27897948,6205.31246367,6870.6112515,6257.91640279
,,,North Africa,,,,,2301.18494606,2536.23188406,1279.97470723,2803.89463467,4241.11808886,4283.65059439,4821.68968026,3419.33561467,4073.19853479,3764.24952502
,,,,Algeria,,,,,,,,,,,,448.983447132,
,,,,Egypt,,,,,,,774.396451473,875.899084649,940.788759523,1107.8217401,1098.35634047,1101.10926083,1088.50538315
,,,,Libya,,,,,,,,,475.961177155,659.795002557,,,
,,,,Morocco,,,,2301.18494606,2536.23188406,1279.97470723,2029.4981832,3365.21900421,2866.90065772,3054.0729376,2320.9792742,2523.10582682,2675.74414186
,,,Other Africa,,,,,,,,1868.82408952,,,,,,
,,,,Gabon,,,,,,,1868.82408952,,,,,,
,,Asia,,,,,,,,1226.88819863,1958.38014174,4609.14291434,5523.65471382,8378.53217221,15075.0075829,19380.0405508,22791.3236225
,,,East Asia,,,,,,,,450.414262592,1407.32693265,1742.4075842,4068.25564895,9743.5698719,9294.08674567,10829.639012
,,,,China,,,,,,,450.414262592,731.633353059,979.756341278,2757.30924649,4229.07277078,5869.13232331,7062.75068609
,,,,"Hong Kong, China",,,,,,,,675.693579586,762.651242927,800.973845899,4779.58714095,2480.40711283,2716.64555626
,,,,"Korea, Republic of",,,,,,,,,,509.972556562,734.909960168,944.547309528,1050.24276969
,,,South-East Asia,,,,,,,,,,,514.294357888,519.781771828,595.194195045,774.48807262
,,,,Malaysia,,,,,,,,,,,519.781771828,595.194195045,774.48807262
,,,,Thailand,,,,,,,,,,514.294357888,,,
,,,South Asia,,,,,,,,,,,,482.368173856,481.330957732,777.126873549
,,,,India,,,,,,,,,,,482.368173856,481.330957732,777.126873549
,,,West Asia,,,,,,,404.637165511,622.941363175,2169.87437105,2111.20791153,2623.33340536,3236.27622459,7524.03096562,8598.53282668
,,,,Turkey,,,,,,404.637165511,622.941363175,2169.87437105,2111.20791153,2623.33340536,3236.27622459,7524.03096562,8598.53282668
,,Latin America and the Caribbean,,,,,,79720.523488,93437.3978424,98957.9708213,132744.45839,150092.300626,145079.090274,182021.306481,207225.901968,190942.179472,185456.248681
,,,South America,,,,,64923.2222652,68404.7074207,73467.0090943,101607.926237,112349.146624,109292.933229,133696.364645,159438.047758,147767.310123,113399.831117
,,,,Argentina,,,,25724.7722181,23767.2986815,30817.3080893,37484.4758534,34179.2015922,37964.1665252,35732.6533699,40865.0023851,30229.3956062,18959.7846738
,,,,"Bolivia, Plurinational State of",,,,,,1039.31586827,1190.5686941,1293.9752864,1778.59176726,1698.46792143,1730.37890621,1695.00955545,
,,,,Brazil,,,,29413.9935284,32774.8719625,18798.5225435,40392.4135488,49380.098984,38580.6893365,59570.2688881,76397.2308593,76001.1231056,67315.8116952
,,,,Chile,,,,9784.45651872,11862.5367767,12132.0367642,12464.0952666,13979.0549711,12806.417404,17229.5812895,19360.2007507,16550.2803235,18223.5592147
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Colombia,,,,,,4458.08702176,4143.28441553,5770.62926357,6458.87667595,6839.97089987,7200.78140972,8436.23076455,
,,,,Ecuador,,,,,,,,,,1757.53253956,1602.10371317,1801.10939022,
,,,,Peru,,,,,,2230.81306117,2265.24132064,3553.64771486,3651.81909022,4189.2660861,5122.99052233,4509.24297768,
,,,,Uruguay,,,,,,2272.10256785,2814.43064081,2571.75748047,3707.48706415,3513.62447868,4087.43557846,4132.71795429,4588.87481528
,,,,"Venezuela, Bolivarian Rep. of",,,,,,1718.82317828,853.416497542,1620.78133143,4344.88536572,3164.99917165,3071.9236335,4412.20044588,4311.80071775
,,,Central America,,,,,14797.3012228,25032.6904217,23457.1585977,27986.266316,33687.5204254,31295.1432476,43751.0354316,42680.8980867,38308.5098537,47846.7384421
,,,,Costa Rica,,,,,,,,,,479.719947274,478.359574073,670.240419638,
,,,,Guatemala,,,,,,423.512368567,617.673360104,612.393309603,612.347713299,573.358976021,477.023374145,487.800459852,
,,,,Mexico,,,,14797.3012228,25032.6904217,21961.2987555,26434.8394115,31866.5335889,29321.7135716,41025.4193948,40230.3074195,35271.7255585,47846.7384421
,,,,Panama,,,,,,1072.34747361,933.753544378,1208.59352688,1361.08196274,1672.53711347,1495.20771896,1878.74341566,
,,,Caribbean,,,,,,,1013.36246406,1394.70381311,2228.75834312,2427.12366362,2940.26550266,3273.68982257,3074.30740745,
,,,,Cayman Islands,,,,,,,,529.955748695,725.07536052,1012.74211091,1241.32973272,962.661915464,
,,,,Dominican Republic,,,,,,428.231169331,783.615456848,1096.71397994,1141.19346569,1309.50580202,1545.98331621,1526.80250033,
,,Oceania,,,,,,,,46.0083074487,73.7520429974,61.8281706811,89.068758298,100.842030959,78.8357957271,75.0462245926,75.2058264725
,Transition economies,,,,,,,,,480.137977734,695.376405404,1020.16481624,1010.37372694,891.731673762,927.322749739,1327.54183504,1572.7253536
,,South-East Europe,,,,,,,,,3.95100230343,,,,,,
,,,Serbia and Montenegro,,,,,,,,3.95100230343,,,,,,
,,CIS,,,,,,,,480.137977734,691.425403101,1020.16481624,1010.37372694,891.731673762,927.322749739,1327.54183504,1572.7253536
,,,Russian Federation,,,,,,,480.137977734,691.425403101,1020.16481624,1010.37372694,891.731673762,927.322749739,1327.54183504,1572.7253536
,Unspecified,,,,,120024.852603,190977.618655,30525.4330194,34055.2468127,1627.98626357,1394.70381311,1695.85839582,957.489151704,1218.74797416,1435.07872222,1163.21648119,1650.569981
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Banco de España and Eurostat.",,,,,,,,,,,,,,,,,
